,coilno,clean
1346,401826,1
1347,401827,1
1348,401828,1
1349,401829,1
1350,401830,1
1351,401831,1
1352,401832,1
1353,401833,1
1354,401834,1
1355,401835,1
1356,401836,1
1357,401837,1
1358,401838,1
1359,401839,1
1360,401840,1
1361,401841,1
1362,401842,1
1363,401843,1
1364,401844,1
1365,401845,1
1366,401846,1
1367,401847,1
1368,401848,1
1369,401849,1
1370,401302,1
1371,401303,1
1372,401304,1
1373,401305,1
1374,401306,1
1375,401307,1
1376,401308,1
1377,401309,1
1378,401310,1
1379,401311,1
1380,401312,1
1381,401313,1
1382,401314,1
1383,401315,1
1384,401316,1
1385,401317,1
1386,401318,1
1387,401319,1
1388,401320,1
1389,401321,1
1390,401322,1
1391,401323,1
1392,401324,1
1393,401325,1
1394,401326,1
1395,401327,1
1396,401328,1
1397,401329,1
1398,401330,1
1399,401331,1
1400,401332,1
1401,401333,1
1402,401334,1
1403,401335,1
1404,401336,1
1405,401337,1
1406,401338,1
1407,401339,1
1408,401340,1
1409,401341,1
1410,401342,1
1411,401343,1
1412,401344,1
1413,401345,1
1414,401346,1
1415,401347,1
1416,401348,1
1417,401349,1
1418,401350,1
1419,401351,1
1420,401352,1
1421,401353,1
1422,401354,1
1423,401355,1
1424,401356,1
1425,401357,1
1426,401358,1
1427,401359,1
1428,401360,1
1429,401361,1
1430,401362,1
1431,401363,1
1432,401366,1
1433,401367,1
1434,401368,1
1435,401369,1
1436,401370,1
1437,401371,1
1438,401372,1
1439,401373,1
1440,401374,1
1441,401375,1
1442,401376,1
1443,401377,1
1444,401381,1
1445,401384,1
1446,401385,1
1447,401386,1
1448,401387,1
1449,401388,1
1450,401389,1
1451,401390,1
1452,401391,1
1453,401392,1
1454,401393,1
1455,401394,1
1456,401395,1
1457,401396,1
1458,401397,1
1459,401398,1
1460,401399,1
1461,401400,1
1462,401401,1
1463,401402,1
1464,401403,1
1465,401404,1
1466,401406,1
1467,401407,1
1468,401408,1
1469,401409,1
1470,401410,1
1471,401411,1
1472,401412,1
1473,401413,1
1474,401414,1
1475,401415,1
1476,401416,1
1477,401417,1
1478,401418,1
1479,401419,1
1480,401421,1
1481,401422,1
1482,401423,1
1483,401424,1
1484,401425,1
1485,401426,1
1486,401427,1
1487,401428,1
1488,401429,1
1489,401430,1
1490,401431,1
1491,401432,1
1492,401433,1
1493,401434,1
1494,401435,1
1495,401436,1
1496,401437,1
1497,401438,1
1498,401439,1
1499,401440,1
